Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Bundly Extra Data (product.metafields.bundly.extra_data),EComposer product countdown end at (product.metafields.ecomposer.countdown),EComposer product countdown start at (product.metafields.ecomposer.countdown_from),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Units sold (product.metafields.sales.units_sold),Age group (product.metafields.shopify.age-group),Allergen information (product.metafields.shopify.allergen-information),Detailed ingredients (product.metafields.shopify.detailed-ingredients),Dietary preferences (product.metafields.shopify.dietary-preferences),Dietary supplements (product.metafields.shopify.dietary-supplements),Dietary use (product.metafields.shopify.dietary-use),Flavor (product.metafields.shopify.flavor),Food supplement form (product.metafields.shopify.food-supplement-form),Ingredient category (product.metafields.shopify.ingredient-category),Product certifications & standards (product.metafields.shopify.product-certifications-standards),Route of administration (product.metafields.shopify.route-of-administration),Suitable for skin type (product.metafields.shopify.suitable-for-skin-type),Supplement health focus (product.metafields.shopify.supplement-health-focus),Target gender (product.metafields.shopify.target-gender),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / India,Price / India,Compare At Price / India,Status
whey-protein-32-pcs,Whey Protein - 32 pcs,"",cureforever.in,Uncategorized,"","",false,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,106670.00,,true,true,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,true,,,draft
age-glow-up,Age Glow Up!,"<p dir=""ltr""><span>Growing older doesn't mean slowing down. The </span><span>Age Glow-Up Bundle</span><span> is thoughtfully curated with four advanced wellness essentials that support healthy ageing, heart health, brain function, metabolism, and everyday vitality.</span></p>
<p dir=""ltr""><span>Featuring </span><span>CoQ10</span><span>, </span><span>Ginkgo Biloba</span><span>, </span><span>Dual Omega-3</span><span>, and </span><span>99% Pure Berberine</span><span>, this bundle is designed to nourish your body from within and help you stay active, focused, and energised through every stage of life.</span></p>
<h3 dir=""ltr""><span>Because healthy ageing starts with the right nutrition.</span></h3>",cureforever.in,Uncategorized,"",urgency,false,Title,Default Title,,,,,,,,cf137-HHGU-B,0.0,shopify,500,deny,manual,2519.00,4252.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0570/5705/0706/files/Age-Glow-Up.webp?v=1782556122,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,true,,,draft
age-glow-up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0570/5705/0706/files/Berberine_1.webp?v=1755495392,2,Berberine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age-glow-up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0570/5705/0706/files/COQ10_1.webp?v=1739346930,3,COQ10 CUREFOREVER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age-glow-up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0570/5705/0706/files/Ginkgo-Biloba_1.webp?v=1739518045,4,"ginkgo biloba tablets
best brain supplements",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age-glow-up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0570/5705/0706/files/Omega-Clinical_Studies.webp?v=1778304888,5,CureForever Omega 3 Duo supplement packaging on a red background,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
his-level-up,HIS Level UP!,"<p dir=""ltr""><span>Every man deserves to feel strong, energetic, and confident. The </span><span>HIS Level-Up Bundle</span><span> combines two powerful herbal formulations designed to support stamina, vitality, performance, and overall men's wellness. Featuring </span><span>Horny Goat Weed + Maca Root</span><span> and </span><span>Shilajit + Ashwagandha</span><span>, this duo is crafted to help you stay active, balanced, and ready to perform at your best, every day.</span></p>
<p dir=""ltr""><span>Whether you're managing a demanding lifestyle, staying active, or simply looking to support your overall vitality, HIS Level-Up is your daily wellness partner.</span></p>",cureforever.in,Uncategorized,"",urgency,false,Title,Default Title,,,,,,,,cf139-HISLU-B,0.0,shopify,500,deny,manual,1349.00,2158.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0570/5705/0706/files/HIS-Level-UP.webp?v=1782563740,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,true,,,draft
his-level-up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0570/5705/0706/files/Horny-Goat_1.webp?v=1739346790,2,"Horny Goat
Maca Root",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
his-level-up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0570/5705/0706/files/Shilajit-_-ashwagandha_1_fbfdcfa6-1439-48ee-892b-63c4bcefac2c.webp?v=1739346102,3,Shilajit Ashwagandha CUREFOREVER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
her-level-up,HER Level-UP!,"<p dir=""ltr""><span> Feel beautiful, confident, and empowered every day with the </span><span>HER Level-Up Bundle</span><span>. Thoughtfully curated with </span><span>Cuplift™</span><span> and </span><span>Biotin</span><span>, this duo is designed to support your natural beauty from within. From healthy-looking hair, skin, and nails to bust care and feminine wellness, it's your simple daily routine for feeling your best.</span></p>
<p dir=""ltr""><span>Whether you're embracing self-care or enhancing your everyday beauty routine, HER Level-Up helps you nourish your confidence, inside and out.</span></p>",cureforever.in,Uncategorized,"",urgency,false,Title,Default Title,,,,,,,,cf138-HERLU-B,0.0,shopify,470,deny,manual,1214.00,2134.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0570/5705/0706/files/HER-Level-UP.webp?v=1782563009,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,true,,,draft
